# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits
411309062 644.723618055 153.735152105 -6.31380014918 168.736893504 -6.3136930627
411309066 642.51166075 52.9731870689 -1.96261218939 58.1432303438 -1.96260790107
411309070 645.555245035 34.0109408322 -1.00000548106 37.3303062645 -1.00000135554
411309074 636.311934698 26.9911500338 -0.509525323644 29.6255010538 -0.50952727877
411309078 631.127492929 24.3490771913 -0.158384931592 26.7255320153 -0.158383605182
411309082 637.571348419 24.3490835535 0.158385096385 26.7255376658 0.158384291873
411309086 634.709888127 26.9911478235 0.509523956233 29.6254934517 0.509525616364
411309090 634.470494626 34.0109510923 1.00000623623 37.3302499842 0.999997955098
411309094 644.860319941 52.973217479 1.96261434772 58.1431441015 1.96260444815
411309098 648.465882051 153.734383951 6.31376521528 168.739000925 6.31377423456
411309102 638.513529396 -153.733151738 -6.31371492332 -168.737477644 -6.31371576318
411309106 637.301351048 -52.9731087972 -1.96260923511 -58.1434965768 -1.96261891692
411309110 636.747146322 -34.0109088277 -1.00000385432 -37.3303395565 -1.00000310216
411309114 633.672221306 -26.9911632725 -0.50952577933 -29.6254628416 -0.509523699177
411309118 641.261285665 -24.3490716512 -0.158382481503 -26.7255319332 -0.158382669546
411309122 636.921352627 -24.3490759335 0.158383309388 -26.7255454284 0.158386743408
411309126 644.945119449 -26.9911441137 0.509523980004 -29.6254904129 0.50952601159
411309130 646.273656553 -34.0108502361 0.999999933166 -37.3303097284 1.00000116192
411309134 641.235475662 -52.9731875397 1.9626134797 -58.1431849659 1.96260639559
411309138 629.912292549 -153.733587812 6.3137336029 -168.739386544 6.31379032835
411313158 922.809892112 222.22685086 -7.5956805974 240.215161585 -7.59587075592
411313162 917.884400754 75.7980350136 -2.41420893897 81.9313725322 -2.41420259459
411313166 912.498068443 47.6486523749 -1.30322265617 51.5043963264 -1.30322459741
411313170 910.964254318 36.5621300076 -0.767326530386 39.5207632862 -0.767329243408
411313174 910.135754077 31.3966429784 -0.414215338209 33.9371861872 -0.414210802941
411313178 906.910286781 29.2569967212 -0.131652692453 31.6244451219 -0.131650633061
411313182 907.34706395 29.2569910959 0.131652149202 31.6244704199 0.131655678619
411313186 935.878656222 31.3966196668 0.41421303551 33.9372132749 0.414213190974
411313190 921.027036615 36.5621064305 0.767325126276 39.5207477193 0.767328140588
411313194 900.941144297 47.6488137012 1.30322942757 51.5043377424 1.30322178473
411313198 927.121167661 75.7978848722 2.41420388099 81.9317390345 2.41421534277
411313202 907.763876141 222.228753568 7.59574813986 240.211711951 7.59575737697
411313206 914.411081229 -222.2260653 -7.59565216893 -240.208638505 -7.59565962039
411313210 916.791320412 -75.7980972208 -2.41421150233 -81.9315078475 -2.41420715939
411313214 919.701842946 -47.6487558649 -1.30322733946 -51.5043783362 -1.30322384763
411313218 920.757366491 -36.5621576854 -0.767327845871 -39.5207109877 -0.767326068775
411313222 916.185675635 -31.3966256947 -0.414213722285 -33.9372395849 -0.414215597605
411313226 911.300326445 -29.2569989994 -0.131652199228 -31.6244562395 -0.131653018291
411313230 914.368951572 -29.2569945409 0.131651224197 -31.6244555142 0.131653061342
411313234 911.609658206 -31.396657559 0.414216900748 -33.9372014479 0.414212795375
411313238 911.406702872 -36.5621603525 0.767327788044 -39.5207556527 0.767328721946
411313242 909.451182332 -47.6489011591 1.30323404085 -51.5044664109 1.3032276376
411313246 929.837587078 -75.7983698195 2.41422150969 -81.9319783505 2.41422293425
411313250 910.777362274 -222.233488558 7.5959120903 -240.213508445 7.5958155836
411317254 1146.67070068 250.089694647 -7.5957900902 268.070645962 -7.59574060088
411317258 1138.37599373 85.3003064827 -2.41420609311 91.4343115649 -2.41422131572
411317262 1142.48612156 53.622184733 -1.30322641024 57.4779372974 -1.3032282127
411317266 1152.85987234 41.1457242551 -0.767326697769 44.1043058021 -0.767327353403
411317270 1153.65828363 35.3326899018 -0.414217411697 37.8732371593 -0.414214221229
411317274 1126.10979431 32.9247808594 -0.13165514533 35.2922542478 -0.131657256352
411317278 1143.53689473 32.9247850127 0.131654655413 35.2922105768 0.131648588599
411317282 1142.29843154 35.3326032886 0.414211200445 37.8732352048 0.414213458578
411317286 1151.36729476 41.1455818292 0.767319580853 44.1043658478 0.767329193544
411317290 1160.07928922 53.6222242514 1.30322788176 57.4778851543 1.30322640365
411317294 1157.32193754 85.3007800726 2.41422206076 91.4338387607 2.41420649111
411317298 1156.93042469 250.087047507 7.59570754445 268.070721755 7.59574362872
411317302 1138.38352332 -250.08589249 -7.59567439546 -268.075684356 -7.59588542421
411317306 1150.41550379 -85.3000349071 -2.41419759077 -91.4348408809 -2.41423762503
411317310 1128.1407865 -53.6223430481 -1.30323247679 -57.4778872923 -1.3032261609
411317314 1158.7635379 -41.145713258 -0.767326669672 -44.1043072067 -0.767326961475
411317318 1162.24764661 -35.3326536247 -0.414215016391 -37.8732037642 -0.414211686274
411317322 1138.9885586 -32.9247694059 -0.131652736736 -35.2922383782 -0.131654354579
411317326 1148.93227161 -32.9247825589 0.131654732423 -35.2922320323 0.131652881858
411317330 1152.07644521 -35.3326430738 0.414213705471 -37.8732375209 0.414214237336
411317334 1141.76224869 -41.145714215 0.767326684969 -44.1043168107 0.767327359436
411317338 1148.15105624 -53.6220615427 1.30322233256 -57.4778589742 1.30322522007
411317342 1165.48662875 -85.3010798556 2.41423211556 -91.4345728142 2.41422949711
411317346 1157.63835164 -250.087240505 7.59571515965 -268.073107779 7.59581020199
411321350 1522.31533148 336.287159802 -8.87503472707 357.258125031 -8.87522712587
411321354 1488.51040333 114.004246623 -2.85784648842 121.111308294 -2.85785483107
411321358 1498.42903467 70.7719543479 -1.5914826475 75.1839153443 -1.59148779722
411321362 1511.3262237 53.2493981817 -0.99999529794 56.5688683594 -0.999996638072
411321366 1502.95517075 44.4691093333 -0.628339711677 47.2412656111 -0.628342944875
411321370 1525.85694626 39.8917196062 -0.349916549528 42.3784349731 -0.349914437775
411321374 1519.31724966 37.8913470814 -0.112673522135 40.2534078001 -0.112673054889
411321378 1497.41488458 37.8913465479 0.112671564562 40.2534244355 0.112675804798
411321382 1505.61099125 39.8917098412 0.349916752109 42.3784302828 0.349914196578
411321386 1514.56618159 44.4691393069 0.628341399947 47.2413903189 0.628348400463
411321390 1502.88903494 53.2494156269 0.999996101807 56.5689736744 1.00000054392
411321394 1515.50442381 70.7721569531 1.59148879256 75.1841449702 1.59149507783
411321398 1506.66165626 114.00341046 2.85782214059 121.111059573 2.85784810705
411321402 1496.42494534 336.30197138 8.87542959482 357.259298243 8.87525783968
411321406 1498.05430183 -336.293091454 -8.87519309477 -357.265560818 -8.87541451419
411321410 1508.88897648 -114.004320859 -2.85784691594 -121.110727964 -2.85783871445
411321414 1524.05471948 -70.7719296435 -1.59148174267 -75.1832805029 -1.59147004251
411321418 1503.10732993 -53.2496386914 -1.00000418388 -56.5689967404 -1.00000041644
411321422 1521.06124209 -44.4691309745 -0.628340704655 -47.2412849276 -0.62834368869
411321426 1505.07544083 -39.8917382935 -0.349919309823 -42.3784627867 -0.349917335406
411321430 1524.30665529 -37.8913447301 -0.112672204695 -40.2533911891 -0.112671827825
411321434 1521.21592683 -37.8913659446 0.112675722457 -40.2533833155 0.11267042849
411321438 1487.45283156 -39.8916722932 0.349914057452 -42.3784280879 0.349914216068
411321442 1499.05637652 -44.4691892101 0.628343853901 -47.2412826697 0.628343575762
411321446 1503.44788601 -53.2495151626 0.999999601377 -56.5692080247 1.00000808906
411321450 1494.36268779 -70.7720979184 1.59148663495 -75.1835352464 1.59147638046
411321454 1515.39762584 -114.003187897 2.85781574971 -121.111208404 2.85785225061
411321458 1517.47669897 -336.30046105 8.87539219293 -357.268679659 8.87549277905
411325446 1783.77458029 418.115346503 -10.1527149066 442.096026458 -10.1535225219
411325450 1779.87686015 141.187255458 -3.29657673397 149.270767354 -3.29651816692
411325454 1802.19898732 86.9417222677 -1.87085410847 91.9213235811 -1.87086369756
411325458 1788.37985595 64.6037192169 -1.21849661553 68.3036431021 -1.21849719726
411325462 1769.7811786 53.0190503571 -0.820677506871 56.0557881988 -0.820689226983
411325466 1784.43785117 46.4716391128 -0.534512702044 49.1330458291 -0.534510304987
411325470 1798.28629089 42.8284878327 -0.303348031978 45.281332802 -0.303349392354
411325474 1767.13919119 41.1826167777 -0.098492268392 43.5411776466 -0.0984957669555
411325478 1776.21211015 41.182613393 0.0984933338584 43.5411726213 0.0984912558851
411325482 1764.87509214 42.8285040451 0.303348365199 45.2813293341 0.303349592964
411325486 1771.31630179 46.4716506854 0.534513427062 49.133083145 0.534511704073
411325490 1751.94380239 53.0191215106 0.820680636018 56.0557369647 0.820686610837
411325494 1751.20954152 64.6038716607 1.21850197793 68.3038258359 1.21850330128
411325498 1780.07229462 86.94287118 1.87088570151 91.9215986986 1.87087077639
411325502 1759.41305555 141.185807929 3.29653845068 149.27357825 3.29658725612
411325506 1785.29151332 418.131052551 10.1530986506 442.088260975 10.1533424541
411325510 1774.60696789 -418.142979523 -10.1533892731 -442.076378009 -10.1530663802
411325514 1804.32493811 -141.186647379 -3.2965603653 -149.272043184 -3.29654846045
411325518 1786.77446787 -86.9422784183 -1.8708691759 -91.9206210063 -1.87084576438
411325522 1812.76026479 -64.6041279581 -1.21851019227 -68.3038873997 -1.2185048049
411325526 1776.90295343 -53.0191402807 -0.820681362412 -56.0555959958 -0.820681604815
411325530 1760.83546568 -46.4716004477 -0.534510502463 -49.1331323202 -0.534513673186
411325534 1768.17857736 -42.828476281 -0.303346241709 -45.2812878247 -0.30334630669
411325538 1773.89666905 -41.1826167709 -0.0984937467319 -43.541211567 -0.0985019425888
411325542 1780.37329644 -41.1825809256 0.0984869176321 -43.5411306497 0.0984878352751
411325546 1797.00922121 -42.8284945575 0.303347741707 -45.2813233019 0.303348000679
411325550 1792.40338464 -46.4715182906 0.534506405884 -49.1331189369 0.53451361658
411325554 1787.98489842 -53.0189736421 0.820674903721 -56.0555892657 0.820681407143
411325558 1780.26929943 -64.6038483603 1.21850049151 -68.3040815385 1.21851061633
411325562 1767.52690511 -86.941859806 1.87085748533 -91.9210689834 1.87085720896
411325566 1787.10230353 -141.188534301 3.296607341 -149.270667548 3.29651590289
411325570 1768.02215177 -418.138564835 10.1532812337 -442.08131273 10.1531822012
411329542 2229.19179888 469.761567449 -10.1530320907 493.713355461 -10.153141973
411329546 2250.81682363 158.619012601 -3.29650950603 166.708040102 -3.29657916394
411329550 2211.91509043 97.678587233 -1.87087156909 102.658133916 -1.87087871355
411329554 2242.84711374 72.5816431159 -1.21850409968 76.2817716696 -1.21851011599
411329558 2230.7338421 59.5662287742 -0.82067931197 62.6026109225 -0.820677465056
411329562 2249.95654162 52.2102530458 -0.534513167766 54.871715311 -0.534512620832
411329566 2258.50869025 48.1172170568 -0.303346941195 50.5700240102 -0.303346236339
411329570 2254.95798327 46.2681137797 -0.0984955777463 48.6266456256 -0.09849186037
411329574 2260.07624655 46.2680728109 0.0984900175202 48.6266441528 0.0984910838796
411329578 2232.61508904 48.1172844714 0.303352233115 50.5700263226 0.303346319699
411329582 2254.63421375 52.2101934174 0.534510963986 54.871653174 0.534509568203
411329586 2244.35519914 59.5662604961 0.820680430086 62.6026466162 0.820679042643
411329590 2207.7979519 72.5817498856 1.21850695735 76.2820978548 1.21851874008
411329594 2231.45939097 97.6793973713 1.87089172031 102.657454152 1.87086265366
411329598 2225.61198474 158.621606728 3.29656832335 166.705720979 3.29652866981
411329602 2239.71562447 469.774444353 10.1533139932 493.69929195 10.1528491266
411329606 2239.47841673 -469.770157732 -10.1532220492 -493.713570651 -10.153147674
411329610 2251.43109507 -158.619227089 -3.29651338902 -166.706503528 -3.29654725499
411329614 2234.3664656 -97.678572811 -1.87087205833 -102.657600205 -1.87086639758
411329618 2238.92401857 -72.5814443762 -1.21849817564 -76.2815279735 -1.21850342533
411329622 2247.64900271 -59.5662728838 -0.820680973461 -62.6025807663 -0.820676660358
411329626 2210.8981987 -52.2102597144 -0.534513183269 -54.8716727085 -0.534510809359
411329630 2221.68898517 -48.1171577302 -0.303342406799 -50.5700279502 -0.303346605141
411329634 2203.42581251 -46.2680863342 -0.0984883860071 -48.6266593279 -0.0984963441473
411329638 2233.48729416 -46.2680640169 0.0984867559246 -48.6266653506 0.0984926809961
411329642 2250.33587716 -48.1172168703 0.303346957878 -50.5699747827 0.303343356805
411329646 2240.55837198 -52.2102630554 0.534513647178 -54.8715941804 0.53450679395
411329650 2220.35284505 -59.5661317296 0.820676163886 -62.602781375 0.820683457633
411329654 2245.2093493 -72.581383389 1.21849608074 -76.2811181543 1.21849210251
411329658 2228.60717963 -97.6784758999 1.87086888304 -102.658654323 1.8708909725
411329662 2220.81826631 -158.619423286 3.29651823699 -166.706553794 3.29654816944
411329666 2254.47192899 -469.774980144 10.1533278373 -493.714975646 10.1531779861
411333638 2565.20293277 563.120932716 -11.429796383 590.052433928 -11.4298188437
